# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,90.0,0.0,Infinity,0.0,0.0,0.0
 0.08944176494656353,0.01199974397513448,0.1341626474198453,1.5,90.0,0.0,Infinity,0.0,0.0,0.0
 0.12648773841570482,0.023998721954279656,0.3238942550434026,5.12151766727363,90.0,0.0,Infinity,0.0,0.0,0.0
 0.1549119169464772,0.03599655301804838,0.42209948304327305,3.454989135167167,90.0,0.0,Infinity,0.0,0.0,0.0
 0.1788721261069923,0.04799285624705363,0.500676064580204,3.2794614191607385,90.0,0.0,Infinity,0.0,0.0,0.0
 0.19997875007428187,0.059987250721908136,0.5682763142719115,3.2027978418752525,90.0,0.0,Infinity,0.0,0.0,0.0
 0.21905761117907552,0.07197935552322454,0.6285545418800358,3.159424835530624,90.0,0.0,Infinity,0.0,0.0,0.0
 0.23659922475445788,0.0839687897316157,0.6834852539002997,3.131451493000212,90.0,0.0,Infinity,0.0,0.0,0.0
 0.25292314040395053,0.09595517242769469,0.7342835477376122,3.1118939185949124,90.0,0.0,Infinity,0.0,0.0,0.0
 0.2682512785829413,0.10793812269207415,0.7817616284803378,3.097446029538058,90.0,0.0,Infinity,0.0,0.0,0.0
 0.28274518517016556,0.11991725960536681,0.8264946956296613,3.086336101320927,90.0,0.0,Infinity,0.0,0.0,0.0
 0.296526786028048,0.13189220224818565,0.8689079567973216,3.0775279015138426,90.0,0.0,Infinity,0.0,0.0,0.0
 0.3096907809424786,0.14386256970114342,0.9093263504557906,3.0703744510081554,90.0,0.0,Infinity,0.0,0.0,0.0
 0.3223124581777264,0.15582798104485296,0.9480048586803058,3.0644507464111057,90.0,0.0,Infinity,0.0,0.0,0.0
 0.33445284207685344,0.16778805535992702,0.9851479503818715,3.059465994665666,90.0,0.0,Infinity,0.0,0.0,0.0
 0.34616220834263856,0.17974241172697847,1.0209225756292373,3.0552144697958212,90.0,0.0,Infinity,0.0,0.0,0.0
 0.35748255829398634,0.19169066922662004,1.055467149954938,3.0515465046721326,90.0,0.0,Infinity,0.0,0.0,0.0
 0.3684494057890578,0.2036324469394647,1.0888979461245638,3.0483506025455074,90.0,0.0,Infinity,0.0,0.0,0.0
 0.37909309669800567,0.2155673639461252,1.121313753730593,3.045541991338569,90.0,0.0,Infinity,0.0,0.0,0.0
 0.38943980221784763,0.22749503932721438,1.1527993483737784,3.043055065480038,90.0,0.0,Infinity,0.0,0.0,0.0
 0.3995122794636354,0.23941509216334478,1.1834281225222225,3.040838256671455,90.0,0.0,Infinity,0.0,0.0,0.0
 0.4093304626949802,0.2513271415351298,1.213264113237925,3.0388504688372713,90.0,0.0,Infinity,0.0,0.0,0.0
 0.4189119291077634,0.26323080652318165,1.2423635877041135,3.0370585474646252,90.0,0.0,Infinity,0.0,0.0,0.0
 0.4282722702581569,0.2751257062081136,1.2707762990488811,3.035435449227541,90.0,0.0,Infinity,0.0,0.0,0.0
 0.43742539148258425,0.2870114596705381,1.2985464926111143,3.0339588956957786,90.0,0.0,Infinity,0.0,0.0,0.0
 0.44638375567148375,0.2988876859910683,1.3257137207311,3.0326103680456766,90.0,0.0,Infinity,0.0,0.0,0.0
 0.4551585835364174,0.31075400425031674,1.3523135088118505,3.0313743460483895,90.0,0.0,Infinity,0.0,0.0,0.0
 0.4637600194992352,0.3226100335288964,1.3783779045534754,3.030237724758507,90.0,0.0,Infinity,0.0,0.0,0.0
 0.47219727015123675,0.33445539290742,1.4039359344757079,3.029189362315472,90.0,0.0,Infinity,0.0,0.0,0.0
 0.48047872062940217,0.3462897014665005,1.429013986170954,3.0282197256828556,90.0,0.0,Infinity,0.0,0.0,0.0
 0.488612033066966,0.3581125782867507,1.4536361305445558,3.0273206104666444,90.0,0.0,Infinity,0.0,0.0,0.0
 0.49660423038121837,0.3699236424487832,1.477824395172272,3.026484917305741,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5044617679819493,0.3817225130332109,1.5015989975447492,3.025706471995196,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5121905954626962,0.3935088091206468,1.5249785451669688,3.024979879607859,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5197962099334082,0.4052821497917035,1.5479802080941492,3.0243004054117955,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5272837023380578,0.41704215412699397,1.5706198684071884,3.023663876971765,90.0,0.0,Infinity,0.0,0.0,0.0
 0.534657797852752,0.428788441207131,1.5929122502862036,3.02306660316422,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5419228912632791,0.44052063011272735,1.6148710336740493,3.022505306817878,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5490830780640249,0.45223833992439577,1.636508953990961,3.0219770683437837,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5561421818940127,0.4639411897227492,1.6578378899370505,3.0214792783585573,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5631037788237623,0.47562879858840046,1.6788689410766533,3.0210095976296607,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5699712189236474,0.4873007856019622,1.6996124966211128,3.0205659230731974,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5767476454765106,0.4989567698440476,1.7200782966002228,3.020146358771188,90.0,0.0,Infinity,0.0,0.0,0.0
 0.5834360121414456,0.510596370395269,1.7402754864269239,3.0197491911722723,90.0,0.0,Infinity,0.0,0.0,0.0
