# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.008770875547035118,0.0002307847735847357,0.02631262664110535,3.0,0.0,0.72,Infinity,0.0,0.0,0.0
 0.015767773647917958,0.0007458680574359278,0.0736159475848592,6.760613097650416,0.0,1.44,Infinity,0.0,0.0,0.0
 0.02267858231243696,0.0015429542871059354,0.11533906788106474,6.03737164804135,0.0,2.16,Infinity,0.0,0.0,0.0
 0.02955079185710726,0.0026197478981462297,0.15668812250863262,6.016850091487082,0.0,2.88,Infinity,0.0,0.0,0.0
 0.03639575674035242,0.003973953326108726,0.19783964579237912,6.011940745594708,0.0,3.6,Infinity,0.0,0.0,0.0
 0.04321756975484497,0.005603275006544672,0.23883997948559227,6.010181399887435,0.0,4.32,Infinity,0.0,0.0,0.0
 0.050018054656981704,0.007505417375006429,0.27970687323548016,6.009408790400721,0.0,5.04,Infinity,0.0,0.0,0.0
 0.05679813631638747,0.0096780848670448,0.3204485729201074,6.0090278747760735,0.0,5.76,Infinity,0.0,0.0,0.0
 0.06355832470577023,0.012118981918212368,0.36106938306647296,6.008828128246055,0.0,6.48,Infinity,0.0,0.0,0.0
 0.07029891645457076,0.014825812964060159,0.4015717234810231,6.008721774576757,0.0,7.200000000000001,Infinity,0.0,0.0,0.0
 0.07702008924114269,0.017796282440140754,0.44195701708714064,6.0086676668694405,0.0,7.920000000000002,Infinity,0.0,0.0,0.0
 0.08372195009276233,0.021028094782004958,0.4822261180017146,6.008644734072945,0.0,8.640000000000002,Infinity,0.0,0.0,0.0
 0.09040456187826827,0.02451895442520491,0.5223795359130915,6.008641411501186,0.0,9.360000000000003,Infinity,0.0,0.0,0.0
 0.09706795867722792,0.028266565805292077,0.562417561666488,6.008650987083291,0.0,10.080000000000004,Infinity,0.0,0.0,0.0
 0.10371215511825443,0.0322686333578186,0.6023403413864465,6.00866938151373,0.0,10.800000000000004,Infinity,0.0,0.0,0.0
 0.11033715227781915,0.03652286151833595,0.6421479221882209,6.008694017974472,0.0,11.520000000000005,Infinity,0.0,0.0,0.0
 0.11694294153189352,0.04102695472239559,0.6818402814291378,6.008723214479643,0.0,12.240000000000006,Infinity,0.0,0.0,0.0
 0.12352950714377174,0.04577861740554945,0.7214173460269954,6.00875584181296,0.0,12.960000000000006,Infinity,0.0,0.0,0.0
 0.1300968280465867,0.05077555400334943,0.760879005571075,6.008791123205983,0.0,13.680000000000007,Infinity,0.0,0.0,0.0
 0.13664487909827583,0.056015468951347236,0.8002251214345868,6.008828512930136,0.0,14.400000000000007,Infinity,0.0,0.0,0.0
 0.14317363198239857,0.061496066685093886,0.8394555332420223,6.0088676204669635,0.0,15.120000000000008,Infinity,0.0,0.0,0.0
 0.1496830558659886,0.06721505164014197,0.8785700635451619,6.008908161864472,0.0,15.840000000000009,Infinity,0.0,0.0,0.0
 0.15617311788742916,0.0731701282520425,0.9175685212602512,6.008949927790227,0.0,16.56000000000001,Infinity,0.0,0.0,0.0
 0.1626437835233263,0.07935900095634785,0.9564507042322646,6.0089927620904495,0.0,17.280000000000012,Infinity,0.0,0.0,0.0
 0.16909501686784398,0.08577937418860926,0.9952164011735091,6.009036547125982,0.0,18.00000000000001,Infinity,0.0,0.0,0.0
 0.17552678084780368,0.09242895238437865,1.0338653931469437,6.009081193566555,0.0,18.720000000000013,Infinity,0.0,0.0,0.0
 0.1819390373900074,0.09930543997920749,1.072397454713433,6.00912663317222,0.0,19.440000000000012,Infinity,0.0,0.0,0.0
 0.1883317475525991,0.10640654140864769,1.1108123548278195,6.009172813618167,0.0,20.160000000000014,Infinity,0.0,0.0,0.0
 0.19470487162904682,0.11372996110825073,1.1491098575449363,6.00921969472518,0.0,20.880000000000013,Infinity,0.0,0.0,0.0
 0.20105836923106768,0.12127340351356897,1.1872897225803445,6.0092672456922385,0.0,21.600000000000016,Infinity,0.0,0.0,0.0
 0.20739219935519373,0.1290345730601532,1.2253517057587844,6.00931544303009,0.0,22.320000000000014,Infinity,0.0,0.0,0.0
 0.2137063204365248,0.1370111741835558,1.2632955593751574,6.009364269013061,0.0,23.040000000000017,Infinity,0.0,0.0,0.0
 0.2200006903923474,0.14520091131932844,1.3011210324866154,6.009413710496559,0.0,23.760000000000016,Infinity,0.0,0.0,0.0
 0.22627526665768727,0.1536014889030224,1.3388278711501047,6.009463758019511,0.0,24.480000000000018,Infinity,0.0,0.0,0.0
 0.2325300062143879,0.16221061137018977,1.3764158186162234,6.009514405096391,0.0,25.200000000000017,Infinity,0.0,0.0,0.0
 0.23876486561495455,0.17102598315638184,1.4138846154880256,6.009565647686758,0.0,25.92000000000002,Infinity,0.0,0.0,0.0
 0.24497980100214456,0.18004530869715096,1.4512339998512962,6.00961748375595,0.0,26.64000000000002,Infinity,0.0,0.0,0.0
 0.2511747681250703,0.18926629242804838,1.4884637073816438,6.009669912947817,0.0,27.36000000000002,Infinity,0.0,0.0,0.0
 0.2573497223524348,0.19868663878462578,1.525573471432518,6.009722936312785,0.0,28.08000000000002,Infinity,0.0,0.0,0.0
 0.26350461868338926,0.20830405220243509,1.5625630231074772,6.009776556094027,0.0,28.800000000000022,Infinity,0.0,0.0,0.0
 0.26963941175640976,0.218116237117028,1.5994320913193913,6.009830775557264,0.0,29.52000000000002,Infinity,0.0,0.0,0.0
